Program Name,Org,Type,Description,Grades,Where,Format,Cost,Pay,Schedule,Time Needed,Apply By,Starts,Ends,Link,Website,Contact Email,Transportation,Last Checked,Notes
Youth Volunteer Program,Museum of Life and Science,Volunteering,"Teen volunteers help run science exhibits, assist with summer camps, and care for the butterfly house at Durham's hands-on science museum.",9-12,Durham,In person,Free,Unpaid,flexible,4 hrs/week minimum,rolling,,,https://www.lifeandscience.org/join-give/volunteer/,https://www.lifeandscience.org,volunteer@lifeandscience.org,Near GoDurham bus routes,6/20/2026,popular with our students
Junior Curators Program,NC Museum of Natural Sciences,Volunteering,Year-long program where high school students develop science communication skills and lead exhibit interpretation for museum guests.,Grades 9-12,Raleigh,in-person,free,unpaid,after school,8 hrs/month,"August 15, 2026",2026-09-08,2027-05-20,https://naturalsciences.org/learn/teens/junior-curators,https://naturalsciences.org,teens@naturalsciences.org,"Downtown Raleigh, GoRaleigh accessible",7/1/2026,
Marbles Teen Volunteers,Marbles Kids Museum,Community Service,Help lead play-based learning activities for young children at Marbles Kids Museum in downtown Raleigh.,ages 13-18,Raleigh,In Person,Free,Unpaid,Weekend,1 shift/week,Rolling,,,https://www.marbleskidsmuseum.org/teen-volunteers,https://www.marbleskidsmuseum.org,volunteers@marbleskidsmuseum.org,,5/15/2026,
Tech Titans Volunteer Program,Kramden Institute,Volunteering,Refurbish donated computers that go to families without home internet access. Earn service hours while learning PC hardware skills.,6-12,Durham,in person,Free,unpaid,weekend,3-hour Saturday shifts,rolling,,,https://kramden.org/volunteer,https://kramden.org,info@kramden.org,"Off NC-55, limited bus access",6/28/2026,
Volunteer - Kramden Institute (Tech Titans),Kramden Institute,community service,Work on refurbishing computers for Triangle families in need. Saturday work days for students grade 6 and up.,grades 6-12,Durham,In-person,free,none,weekends,3 hr shifts,ongoing,,,https://kramden.org/volunteer,,,,,from the counselor spreadsheet
Code the Dream Labs - Intro to Programming,Code the Dream,Coding Program,"Free beginner coding classes taught by professional developers, focused on students from families underrepresented in tech.",high school,Durham,Hybrid,Free,Unpaid,after school,6 hrs/week for 12 weeks,"September 5, 2026",2026-09-21,2026-12-18,https://codethedream.org/courses/,https://codethedream.org,apply@codethedream.org,,"July 2, 2026",
Leaders in Training (LIT),YMCA of the Triangle,Summer Camp,Counselor-in-training program at Y summer camps. Develop leadership skills while assisting camp counselors with younger campers.,rising 9th-11th graders,Triangle,in person,$150,Unpaid,Summer,1-2 weeks full-time,2027-04-01,2027-06-15,2027-08-10,https://www.ymcatriangle.org/programs/leaders-training,https://www.ymcatriangle.org,,,6/10/2026,
Book Babies Volunteer,Book Harvest,Volunteering,"Sort, clean, and shelve donated children's books at Book Harvest's Durham book bank. Drop-in volunteer hours for teens.",9-12,Durham,In person,Free,Unpaid,Flexible,2+ hrs/shift,rolling,,,https://bookharvest.org/volunteer/,https://bookharvest.org,volunteer@bookharvest.org,,7/5/2026,
TABLE Weekend Meal Packing,TABLE,Volunteer Opportunity,Pack weekend meal bags for kids facing food insecurity in Orange County. Great group or individual service hours.,ages 14+,Carrboro,In-Person,Free,Unpaid,Weekend,"Saturday mornings, 2 hrs",Rolling,,,https://www.tablenc.org/volunteer,https://www.tablenc.org,volunteer@tablenc.org,Near downtown Carrboro bus lines,6/25/2026,
Durham ReStore Youth Volunteers,Habitat for Humanity of Durham,Community Service,"Support the Habitat ReStore by sorting donations, stocking shelves, and helping customers. Ages 16+ can volunteer solo; 14-15 with an adult.",ages 14-18,Durham,in person,free,unpaid,flexible,4-hr shifts,ongoing,,,https://durhamhabitat.org/restore-volunteer,https://durhamhabitat.org,,,11/10/2025,
